#mapping_set_id: boomer:label_match_candidates
#mapping_tool: boomer-label-match
#mapping_date: 2026-03-04
#curie_map:
#  CL: http://purl.obolibrary.org/obo/CL_
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
CL:0000136	adipocyte	skos:exactMatch	BTO:0000443	adipocyte	semapv:LexicalMatching	0.7
CL:0000137	osteocyte	skos:exactMatch	BTO:0002038	osteocyte	semapv:LexicalMatching	0.7
CL:0000138	chondrocyte	skos:exactMatch	BTO:0000249	chondrocyte	semapv:LexicalMatching	0.7
CL:0000142	hyalocyte	skos:exactMatch	BTO:0004271	hyalocyte	semapv:LexicalMatching	0.7
CL:0000148	melanocyte	skos:exactMatch	BTO:0000847	melanocyte	semapv:LexicalMatching	0.7
CL:0000151	secretory cell	skos:exactMatch	BTO:0003659	secretory cell	semapv:LexicalMatching	0.7
CL:0000160	goblet cell	skos:exactMatch	BTO:0001540	goblet cell	semapv:LexicalMatching	0.7
CL:0000164	enteroendocrine cell	skos:exactMatch	BTO:0003865	enteroendocrine cell	semapv:LexicalMatching	0.7
CL:0000165	neuroendocrine cell	skos:exactMatch	BTO:0002691	neuroendocrine cell	semapv:LexicalMatching	0.7
CL:0000166	chromaffin cell	skos:exactMatch	BTO:0000259	chromaffin cell	semapv:LexicalMatching	0.7
CL:0000175	luteal cell	skos:exactMatch	BTO:0003939	luteal cell	semapv:LexicalMatching	0.7
CL:0000178	Leydig cell	skos:exactMatch	BTO:0000755	Leydig cell	semapv:LexicalMatching	0.7
CL:0000182	hepatocyte	skos:exactMatch	BTO:0000575	hepatocyte	semapv:LexicalMatching	0.7
CL:0000185	myoepithelial cell	skos:exactMatch	BTO:0002309	myoepithelial cell	semapv:LexicalMatching	0.7
CL:0000192	smooth muscle cell	skos:exactMatch	BTO:0004576	smooth muscle cell	semapv:LexicalMatching	0.7
CL:0000206	chemoreceptor cell	skos:exactMatch	BTO:0005729	chemoreceptor cell	semapv:LexicalMatching	0.7
CL:0000210	photoreceptor cell	skos:exactMatch	BTO:0001060	photoreceptor cell	semapv:LexicalMatching	0.7
CL:0000214	synovial cell	skos:exactMatch	BTO:0003652	synovial cell	semapv:LexicalMatching	0.7
CL:0000216	Sertoli cell	skos:exactMatch	BTO:0001238	Sertoli cell	semapv:LexicalMatching	0.7
CL:0000218	myelinating Schwann cell	skos:exactMatch	BTO:0004996	myelinating Schwann cell	semapv:LexicalMatching	0.7
CL:0000232	erythrocyte	skos:exactMatch	BTO:0000424	erythrocyte	semapv:LexicalMatching	0.7
CL:0000234	phagocyte	skos:exactMatch	BTO:0001044	phagocyte	semapv:LexicalMatching	0.7
CL:0000235	macrophage	skos:exactMatch	BTO:0000801	macrophage	semapv:LexicalMatching	0.7
CL:0000312	keratinocyte	skos:exactMatch	BTO:0000667	keratinocyte	semapv:LexicalMatching	0.7
CL:0000317	sebocyte	skos:exactMatch	BTO:0004613	sebocyte	semapv:LexicalMatching	0.7
CL:0000346	hair follicle dermal papilla cell	skos:exactMatch	BTO:0005569	hair follicle dermal papilla cell	semapv:LexicalMatching	0.7
CL:0000362	epidermal cell	skos:exactMatch	BTO:0001470	epidermal cell	semapv:LexicalMatching	0.7
CL:0000382	scolopale cell	skos:exactMatch	BTO:0005885	scolopale cell	semapv:LexicalMatching	0.7
CL:0000421	coelomocyte	skos:exactMatch	BTO:0002856	coelomocyte	semapv:LexicalMatching	0.7
CL:0000442	follicular dendritic cell	skos:exactMatch	BTO:0004267	follicular dendritic cell	semapv:LexicalMatching	0.7
CL:0000448	white adipocyte	skos:exactMatch	BTO:0006429	white adipocyte	semapv:LexicalMatching	0.7
CL:0000449	brown adipocyte	skos:exactMatch	BTO:0006430	brown adipocyte	semapv:LexicalMatching	0.7
CL:0000451	dendritic cell	skos:exactMatch	BTO:0002042	dendritic cell	semapv:LexicalMatching	0.7
CL:0000453	Langerhans cell	skos:exactMatch	BTO:0000705	Langerhans cell	semapv:LexicalMatching	0.7
CL:0000486	garland cell	skos:exactMatch	BTO:0004596	garland cell	semapv:LexicalMatching	0.7
CL:0000499	stromal cell	skos:exactMatch	BTO:0002064	stromal cell	semapv:LexicalMatching	0.7
CL:0000501	granulosa cell	skos:exactMatch	BTO:0000542	granulosa cell	semapv:LexicalMatching	0.7
CL:0000503	theca cell	skos:exactMatch	BTO:0002850	theca cell	semapv:LexicalMatching	0.7
CL:0000504	enterochromaffin-like cell	skos:exactMatch	BTO:0002692	enterochromaffin-like cell	semapv:LexicalMatching	0.7
CL:0000510	paneth cell	skos:exactMatch	BTO:0000993	paneth cell	semapv:LexicalMatching	0.7
CL:0000540	neuron	skos:exactMatch	BTO:0000938	neuron	semapv:LexicalMatching	0.7
CL:0000541	melanoblast	skos:exactMatch	BTO:0003217	melanoblast	semapv:LexicalMatching	0.7
CL:0000542	lymphocyte	skos:exactMatch	BTO:0000775	lymphocyte	semapv:LexicalMatching	0.7
CL:0000556	megakaryocyte	skos:exactMatch	BTO:0000843	megakaryocyte	semapv:LexicalMatching	0.7
CL:0000558	reticulocyte	skos:exactMatch	BTO:0001173	reticulocyte	semapv:LexicalMatching	0.7
CL:0000561	amacrine cell	skos:exactMatch	BTO:0004044	amacrine cell	semapv:LexicalMatching	0.7
CL:0000563	endospore	skos:exactMatch	BTO:0002779	endospore	semapv:LexicalMatching	0.7
CL:0000575	corneal epithelial cell	skos:exactMatch	BTO:0004298	corneal epithelial cell	semapv:LexicalMatching	0.7
CL:0000576	monocyte	skos:exactMatch	BTO:0000876	monocyte	semapv:LexicalMatching	0.7
CL:0000580	neutrophilic myelocyte	skos:exactMatch	BTO:0003455	neutrophilic myelocyte	semapv:LexicalMatching	0.7
CL:0000581	peritoneal macrophage	skos:exactMatch	BTO:0001034	peritoneal macrophage	semapv:LexicalMatching	0.7
CL:0000583	alveolar macrophage	skos:exactMatch	BTO:0000802	alveolar macrophage	semapv:LexicalMatching	0.7
CL:0000584	enterocyte	skos:exactMatch	BTO:0000398	enterocyte	semapv:LexicalMatching	0.7
CL:0000586	germ cell	skos:exactMatch	BTO:0000535	germ cell	semapv:LexicalMatching	0.7
CL:0000588	odontoclast	skos:exactMatch	BTO:0002516	odontoclast	semapv:LexicalMatching	0.7
CL:0000590	small luteal cell	skos:exactMatch	BTO:0005679	small luteal cell	semapv:LexicalMatching	0.7
CL:0000592	large luteal cell	skos:exactMatch	BTO:0005680	large luteal cell	semapv:LexicalMatching	0.7
CL:0000594	skeletal muscle satellite cell	skos:exactMatch	BTO:0005787	skeletal muscle satellite cell	semapv:LexicalMatching	0.7
CL:0000598	pyramidal neuron	skos:exactMatch	BTO:0003102	pyramidal neuron	semapv:LexicalMatching	0.7
CL:0000599	conidium	skos:exactMatch	BTO:0000283	conidium	semapv:LexicalMatching	0.7
CL:0000607	ascospore	skos:exactMatch	BTO:0000097	ascospore	semapv:LexicalMatching	0.7
CL:0000609	vestibular hair cell	skos:exactMatch	BTO:0005824	vestibular hair cell	semapv:LexicalMatching	0.7
CL:0000612	eosinophilic myelocyte	skos:exactMatch	BTO:0003454	eosinophilic myelocyte	semapv:LexicalMatching	0.7
CL:0000614	basophilic myelocyte	skos:exactMatch	BTO:0003456	basophilic myelocyte	semapv:LexicalMatching	0.7
CL:0000615	basidiospore	skos:exactMatch	BTO:0002166	basidiospore	semapv:LexicalMatching	0.7
CL:0000623	natural killer cell	skos:exactMatch	BTO:0000914	natural killer cell	semapv:LexicalMatching	0.7
CL:0000630	supporting cell	skos:exactMatch	BTO:0002315	supporting cell	semapv:LexicalMatching	0.7
CL:0000632	hepatic stellate cell	skos:exactMatch	BTO:0002741	hepatic stellate cell	semapv:LexicalMatching	0.7
CL:0000636	Mueller cell	skos:exactMatch	BTO:0003064	Mueller cell	semapv:LexicalMatching	0.7
CL:0000645	pituicyte	skos:exactMatch	BTO:0003793	pituicyte	semapv:LexicalMatching	0.7
CL:0000646	basal cell	skos:exactMatch	BTO:0000939	basal cell	semapv:LexicalMatching	0.7
CL:0000650	mesangial cell	skos:exactMatch	BTO:0000853	mesangial cell	semapv:LexicalMatching	0.7
CL:0000652	pinealocyte	skos:exactMatch	BTO:0001068	pinealocyte	semapv:LexicalMatching	0.7
CL:0000653	podocyte	skos:exactMatch	BTO:0002295	podocyte	semapv:LexicalMatching	0.7
CL:0000654	primary oocyte	skos:exactMatch	BTO:0000512	primary oocyte	semapv:LexicalMatching	0.7
CL:0000655	secondary oocyte	skos:exactMatch	BTO:0003094	secondary oocyte	semapv:LexicalMatching	0.7
CL:0000656	primary spermatocyte	skos:exactMatch	BTO:0001115	primary spermatocyte	semapv:LexicalMatching	0.7
CL:0000657	secondary spermatocyte	skos:exactMatch	BTO:0000709	secondary spermatocyte	semapv:LexicalMatching	0.7
CL:0000669	pericyte	skos:exactMatch	BTO:0002441	pericyte	semapv:LexicalMatching	0.7
CL:0000673	Kenyon cell	skos:exactMatch	BTO:0006033	Kenyon cell	semapv:LexicalMatching	0.7
CL:0000700	dopaminergic neuron	skos:exactMatch	BTO:0004032	dopaminergic neuron	semapv:LexicalMatching	0.7
CL:0000724	heterocyst	skos:exactMatch	BTO:0000600	heterocyst	semapv:LexicalMatching	0.7
CL:0000737	striated muscle cell	skos:exactMatch	BTO:0002916	striated muscle cell	semapv:LexicalMatching	0.7
CL:0000738	leukocyte	skos:exactMatch	BTO:0000751	leukocyte	semapv:LexicalMatching	0.7
CL:0000740	retinal ganglion cell	skos:exactMatch	BTO:0001800	retinal ganglion cell	semapv:LexicalMatching	0.7
CL:0000765	erythroblast	skos:exactMatch	BTO:0001571	erythroblast	semapv:LexicalMatching	0.7
CL:0000767	basophil	skos:exactMatch	BTO:0000129	basophil	semapv:LexicalMatching	0.7
CL:0000771	eosinophil	skos:exactMatch	BTO:0000399	eosinophil	semapv:LexicalMatching	0.7
CL:0000775	neutrophil	skos:exactMatch	BTO:0000130	neutrophil	semapv:LexicalMatching	0.7
CL:0000782	myeloid dendritic cell	skos:exactMatch	BTO:0004721	myeloid dendritic cell	semapv:LexicalMatching	0.7
CL:0000784	plasmacytoid dendritic cell	skos:exactMatch	BTO:0004625	plasmacytoid dendritic cell	semapv:LexicalMatching	0.7
CL:0000786	plasma cell	skos:exactMatch	BTO:0000392	plasma cell	semapv:LexicalMatching	0.7
CL:0000835	myeloblast	skos:exactMatch	BTO:0000187	myeloblast	semapv:LexicalMatching	0.7
CL:0000836	promyelocyte	skos:exactMatch	BTO:0005790	promyelocyte	semapv:LexicalMatching	0.7
CL:0000850	serotonergic neuron	skos:exactMatch	BTO:0006205	serotonergic neuron	semapv:LexicalMatching	0.7
CL:0000863	M1 macrophage	skos:exactMatch	BTO:0006110	M1 macrophage	semapv:LexicalMatching	0.7
CL:0000890	M2 macrophage	skos:exactMatch	BTO:0006111	M2 macrophage	semapv:LexicalMatching	0.7
CL:0000891	foam cell	skos:exactMatch	BTO:0003872	foam cell	semapv:LexicalMatching	0.7
CL:0000893	thymocyte	skos:exactMatch	BTO:0001372	thymocyte	semapv:LexicalMatching	0.7
CL:0000917	Tc1 cell	skos:exactMatch	BTO:0004793	TC1 cell	semapv:LexicalMatching	0.7
CL:0000918	Tc2 cell	skos:exactMatch	BTO:0004794	TC2 cell	semapv:LexicalMatching	0.7
CL:0000988	hematopoietic cell	skos:exactMatch	BTO:0000574	hematopoietic cell	semapv:LexicalMatching	0.7
CL:0001006	dermal dendritic cell	skos:exactMatch	BTO:0004812	dermal dendritic cell	semapv:LexicalMatching	0.7
CL:0001031	cerebellar granule cell	skos:exactMatch	BTO:0004278	cerebellar granule cell	semapv:LexicalMatching	0.7
CL:0002064	pancreatic acinar cell	skos:exactMatch	BTO:0000028	pancreatic acinar cell	semapv:LexicalMatching	0.7
CL:0002085	tanycyte	skos:exactMatch	BTO:0001953	tanycyte	semapv:LexicalMatching	0.7
CL:0002088	interstitial cell of Cajal	skos:exactMatch	BTO:0003914	interstitial cell of Cajal	semapv:LexicalMatching	0.7
CL:0002092	bone marrow cell	skos:exactMatch	BTO:0004850	bone marrow cell	semapv:LexicalMatching	0.7
CL:0002144	capillary endothelial cell	skos:exactMatch	BTO:0004956	capillary endothelial cell	semapv:LexicalMatching	0.7
CL:0002153	corneocyte	skos:exactMatch	BTO:0001943	corneocyte	semapv:LexicalMatching	0.7
CL:0002173	extraglomerular mesangial cell	skos:exactMatch	BTO:0005159	extraglomerular mesangial cell	semapv:LexicalMatching	0.7
CL:0002188	glomerular endothelial cell	skos:exactMatch	BTO:0004632	glomerular endothelial cell	semapv:LexicalMatching	0.7
CL:0002193	myelocyte	skos:exactMatch	BTO:0000734	myelocyte	semapv:LexicalMatching	0.7
CL:0002246	peripheral blood stem cell	skos:exactMatch	BTO:0002669	peripheral blood stem cell	semapv:LexicalMatching	0.7
CL:0002248	pluripotent stem cell	skos:exactMatch	BTO:0006078	pluripotent stem cell	semapv:LexicalMatching	0.7
CL:0002275	pancreatic PP cell	skos:exactMatch	BTO:0000805	pancreatic PP cell	semapv:LexicalMatching	0.7
CL:0002322	embryonic stem cell	skos:exactMatch	BTO:0001086	embryonic stem cell	semapv:LexicalMatching	0.7
CL:0002323	amniocyte	skos:exactMatch	BTO:0000066	amniocyte	semapv:LexicalMatching	0.7
CL:0002328	bronchial epithelial cell	skos:exactMatch	BTO:0002922	bronchial epithelial cell	semapv:LexicalMatching	0.7
CL:0002334	preadipocyte	skos:exactMatch	BTO:0001107	preadipocyte	semapv:LexicalMatching	0.7
CL:0002363	keratocyte	skos:exactMatch	BTO:0005170	keratocyte	semapv:LexicalMatching	0.7
CL:0002366	myometrial cell	skos:exactMatch	BTO:0004519	myometrial cell	semapv:LexicalMatching	0.7
CL:0002372	myotube	skos:exactMatch	BTO:0001760	myotube	semapv:LexicalMatching	0.7
CL:0002376	non-myelinating Schwann cell	skos:exactMatch	BTO:0004997	non-myelinating Schwann cell	semapv:LexicalMatching	0.7
CL:0002488	trophoblast giant cell	skos:exactMatch	BTO:0005362	trophoblast giant cell	semapv:LexicalMatching	0.7
CL:0002520	nephrocyte	skos:exactMatch	BTO:0004597	nephrocyte	semapv:LexicalMatching	0.7
CL:0002539	aortic smooth muscle cell	skos:exactMatch	BTO:0004577	aortic smooth muscle cell	semapv:LexicalMatching	0.7
CL:0002544	aortic endothelial cell	skos:exactMatch	BTO:0003245	aortic endothelial cell	semapv:LexicalMatching	0.7
CL:0002563	intestinal epithelial cell	skos:exactMatch	BTO:0005937	intestinal epithelial cell	semapv:LexicalMatching	0.7
CL:0002573	Schwann cell	skos:exactMatch	BTO:0001220	Schwann cell	semapv:LexicalMatching	0.7
CL:0002598	bronchial smooth muscle cell	skos:exactMatch	BTO:0004402	bronchial smooth muscle cell	semapv:LexicalMatching	0.7
CL:0002620	skin fibroblast	skos:exactMatch	BTO:0001255	skin fibroblast	semapv:LexicalMatching	0.7
CL:0007010	preosteoblast	skos:exactMatch	BTO:0002051	preosteoblast	semapv:LexicalMatching	0.7
CL:0007011	enteric neuron	skos:exactMatch	BTO:0006389	enteric neuron	semapv:LexicalMatching	0.7
CL:0008002	skeletal muscle fiber	skos:exactMatch	BTO:0002319	skeletal muscle fiber	semapv:LexicalMatching	0.7
CL:0008011	skeletal muscle satellite stem cell	skos:exactMatch	BTO:0006105	skeletal muscle satellite stem cell	semapv:LexicalMatching	0.7
CL:0008012	quiescent skeletal muscle satellite cell	skos:exactMatch	BTO:0006103	quiescent skeletal muscle satellite cell	semapv:LexicalMatching	0.7
CL:0008016	activated skeletal muscle satellite cell	skos:exactMatch	BTO:0006102	activated skeletal muscle satellite cell	semapv:LexicalMatching	0.7
CL:0008019	mesenchymal cell	skos:exactMatch	BTO:0002625	mesenchymal cell	semapv:LexicalMatching	0.7
CL:0008034	mural cell	skos:exactMatch	BTO:0004720	mural cell	semapv:LexicalMatching	0.7
CL:0008036	extravillous trophoblast	skos:exactMatch	BTO:0002366	extravillous trophoblast	semapv:LexicalMatching	0.7
CL:0009002	inflammatory cell	skos:exactMatch	BTO:0003861	inflammatory cell	semapv:LexicalMatching	0.7
CL:0010017	zygote	skos:exactMatch	BTO:0000854	zygote	semapv:LexicalMatching	0.7
CL:0011012	neural crest cell	skos:exactMatch	BTO:0003825	neural crest cell	semapv:LexicalMatching	0.7
CL:0011028	olfactory ensheathing cell	skos:exactMatch	BTO:0002771	olfactory ensheathing cell	semapv:LexicalMatching	0.7
CL:0011030	dermal microvascular endothelial cell	skos:exactMatch	BTO:0004574	dermal microvascular endothelial cell	semapv:LexicalMatching	0.7
CL:0011031	monocyte-derived dendritic cell	skos:exactMatch	BTO:0002900	monocyte-derived dendritic cell	semapv:LexicalMatching	0.7
CL:0011110	histaminergic neuron	skos:exactMatch	BTO:0005819	histaminergic neuron	semapv:LexicalMatching	0.7
CL:0017005	lymphoblast	skos:exactMatch	BTO:0000772	lymphoblast	semapv:LexicalMatching	0.7
CL:0017006	B-lymphoblast	skos:exactMatch	BTO:0001528	B-lymphoblast	semapv:LexicalMatching	0.7
CL:1000347	colonocyte	skos:exactMatch	BTO:0000275	colonocyte	semapv:LexicalMatching	0.7
CL:1000488	cholangiocyte	skos:exactMatch	BTO:0003164	cholangiocyte	semapv:LexicalMatching	0.7
CL:1001435	periglomerular cell	skos:exactMatch	BTO:0003796	periglomerular cell	semapv:LexicalMatching	0.7
CL:1001474	medium spiny neuron	skos:exactMatch	BTO:0004778	medium spiny neuron	semapv:LexicalMatching	0.7
CL:1001502	mitral cell	skos:exactMatch	BTO:0001283	mitral cell	semapv:LexicalMatching	0.7
CL:1001567	lung endothelial cell	skos:exactMatch	BTO:0005812	lung endothelial cell	semapv:LexicalMatching	0.7
CL:1001568	pulmonary artery endothelial cell	skos:exactMatch	BTO:0001141	pulmonary artery endothelial cell	semapv:LexicalMatching	0.7
CL:2000001	peripheral blood mononuclear cell	skos:exactMatch	BTO:0001025	peripheral blood mononuclear cell	semapv:LexicalMatching	0.7
CL:2000002	decidual cell	skos:exactMatch	BTO:0002770	decidual cell	semapv:LexicalMatching	0.7
CL:2000008	microvascular endothelial cell	skos:exactMatch	BTO:0003123	microvascular endothelial cell	semapv:LexicalMatching	0.7
CL:2000016	lung microvascular endothelial cell	skos:exactMatch	BTO:0005738	lung microvascular endothelial cell	semapv:LexicalMatching	0.7
CL:2000042	embryonic fibroblast	skos:exactMatch	BTO:0004725	embryonic fibroblast	semapv:LexicalMatching	0.7
CL:2000044	brain microvascular endothelial cell	skos:exactMatch	BTO:0003636	brain microvascular endothelial cell	semapv:LexicalMatching	0.7
CL:2000052	umbilical artery endothelial cell	skos:exactMatch	BTO:0004295	umbilical artery endothelial cell	semapv:LexicalMatching	0.7
CL:2000064	ovarian surface epithelial cell	skos:exactMatch	BTO:0004484	ovarian surface epithelial cell	semapv:LexicalMatching	0.7
CL:2000074	splenocyte	skos:exactMatch	BTO:0001598	splenocyte	semapv:LexicalMatching	0.7
CL:4030030	peripheral blood lymphocyte	skos:exactMatch	BTO:0004729	peripheral blood lymphocyte	semapv:LexicalMatching	0.7
CL:4030031	interstitial cell	skos:exactMatch	BTO:0004238	interstitial cell	semapv:LexicalMatching	0.7
CL:4033014	peg cell	skos:exactMatch	BTO:0005588	peg cell	semapv:LexicalMatching	0.7
CL:4033050	catecholaminergic neuron	skos:exactMatch	BTO:0004033	catecholaminergic neuron	semapv:LexicalMatching	0.7
DHBA:10153	neural plate	skos:exactMatch	BTO:0001765	neural plate	semapv:LexicalMatching	0.7
DHBA:10154	neural tube	skos:exactMatch	BTO:0001057	neural tube	semapv:LexicalMatching	0.7
DHBA:10155	brain	skos:exactMatch	BTO:0000142	brain	semapv:LexicalMatching	0.7
DHBA:10158	telencephalon	skos:exactMatch	BTO:0000239	telencephalon	semapv:LexicalMatching	0.7
DHBA:10159	cerebral cortex	skos:exactMatch	BTO:0000233	cerebral cortex	semapv:LexicalMatching	0.7
DHBA:10302	subiculum	skos:exactMatch	BTO:0003087	subiculum	semapv:LexicalMatching	0.7
DHBA:10307	olfactory bulb	skos:exactMatch	BTO:0000961	olfactory bulb	semapv:LexicalMatching	0.7
DHBA:10308	anterior olfactory nucleus	skos:exactMatch	BTO:0003649	anterior olfactory nucleus	semapv:LexicalMatching	0.7
DHBA:10310	olfactory tubercle	skos:exactMatch	BTO:0001869	olfactory tubercle	semapv:LexicalMatching	0.7
DHBA:10334	caudate nucleus	skos:exactMatch	BTO:0000211	caudate nucleus	semapv:LexicalMatching	0.7
DHBA:10339	nucleus accumbens	skos:exactMatch	BTO:0001862	nucleus accumbens	semapv:LexicalMatching	0.7
DHBA:10342	globus pallidus	skos:exactMatch	BTO:0002246	globus pallidus	semapv:LexicalMatching	0.7
DHBA:10349	basal forebrain	skos:exactMatch	BTO:0002444	basal forebrain	semapv:LexicalMatching	0.7
DHBA:10389	diencephalon	skos:exactMatch	BTO:0000342	diencephalon	semapv:LexicalMatching	0.7
DHBA:10390	thalamus	skos:exactMatch	BTO:0001365	thalamus	semapv:LexicalMatching	0.7
DHBA:10428	posterior nuclear complex of thalamus	skos:exactMatch	BTO:0002462	posterior nuclear complex of thalamus	semapv:LexicalMatching	0.7
DHBA:10429	lateral geniculate nucleus	skos:exactMatch	BTO:0004366	lateral geniculate nucleus	semapv:LexicalMatching	0.7
DHBA:10451	epithalamus	skos:exactMatch	BTO:0000175	epithalamus	semapv:LexicalMatching	0.7
DHBA:10463	zona incerta	skos:exactMatch	BTO:0003146	zona incerta	semapv:LexicalMatching	0.7
DHBA:10466	subthalamic nucleus	skos:exactMatch	BTO:0002252	subthalamic nucleus	semapv:LexicalMatching	0.7
DHBA:10467	hypothalamus	skos:exactMatch	BTO:0000614	hypothalamus	semapv:LexicalMatching	0.7
DHBA:10476	paraventricular nucleus of hypothalamus	skos:exactMatch	BTO:0002476	paraventricular nucleus of hypothalamus	semapv:LexicalMatching	0.7
DHBA:10480	suprachiasmatic nucleus	skos:exactMatch	BTO:0001822	suprachiasmatic nucleus	semapv:LexicalMatching	0.7
DHBA:10542	ventricular zone	skos:exactMatch	BTO:0003654	ventricular zone	semapv:LexicalMatching	0.7
DHBA:10561	corpus callosum	skos:exactMatch	BTO:0000615	corpus callosum	semapv:LexicalMatching	0.7
DHBA:10655	metencephalon	skos:exactMatch	BTO:0000673	metencephalon	semapv:LexicalMatching	0.7
DHBA:10656	cerebellum	skos:exactMatch	BTO:0000232	cerebellum	semapv:LexicalMatching	0.7
DHBA:10657	cerebellar cortex	skos:exactMatch	BTO:0000043	cerebellar cortex	semapv:LexicalMatching	0.7
DHBA:10661	pons	skos:exactMatch	BTO:0001101	pons	semapv:LexicalMatching	0.7
DHBA:12073	olfactory tract	skos:exactMatch	BTO:0003647	olfactory tract	semapv:LexicalMatching	0.7
DHBA:12101	subcommissural organ	skos:exactMatch	BTO:0001820	subcommissural organ	semapv:LexicalMatching	0.7
DHBA:12104	subfornical organ	skos:exactMatch	BTO:0006266	subfornical organ	semapv:LexicalMatching	0.7
DHBA:12106	organum vasculosum laminae terminalis	skos:exactMatch	BTO:0006268	organum vasculosum laminae terminalis	semapv:LexicalMatching	0.7
DHBA:12113	frontal lobe	skos:exactMatch	BTO:0000484	frontal lobe	semapv:LexicalMatching	0.7
DHBA:12131	parietal lobe	skos:exactMatch	BTO:0001001	parietal lobe	semapv:LexicalMatching	0.7
DHBA:12139	temporal lobe	skos:exactMatch	BTO:0001355	temporal lobe	semapv:LexicalMatching	0.7
DHBA:12198	oculomotor nucleus	skos:exactMatch	BTO:0006504	oculomotor nucleus	semapv:LexicalMatching	0.7
DHBA:12251	substantia nigra	skos:exactMatch	BTO:0000143	substantia nigra	semapv:LexicalMatching	0.7
DHBA:12406	pontine nucleus	skos:exactMatch	BTO:0003396	pontine nucleus	semapv:LexicalMatching	0.7
DHBA:12776	corticospinal tract	skos:exactMatch	BTO:0006132	corticospinal tract	semapv:LexicalMatching	0.7
DHBA:12782	rubrospinal tract	skos:exactMatch	BTO:0006159	rubrospinal tract	semapv:LexicalMatching	0.7
DHBA:12805	fourth ventricle	skos:exactMatch	BTO:0003426	fourth ventricle	semapv:LexicalMatching	0.7
DHBA:12807	area postrema	skos:exactMatch	BTO:0003425	area postrema	semapv:LexicalMatching	0.7
DHBA:12890	spinal cord	skos:exactMatch	BTO:0001279	spinal cord	semapv:LexicalMatching	0.7
